,institution,id,order,family,genus,scientificName,countryOrigin,description
55,LMNH,9500766,Lepidoptera,Nymphalidae,Byblia,"Byblia acheloia Wallengren, 1857",,
56,LMNH,9500765,Lepidoptera,Nymphalidae,Byblia,"Byblia acheloia Wallengren, 1857",,
57,LMNH,9500764,Lepidoptera,Nymphalidae,Byblia,"Byblia acheloia Wallengren, 1857",,
58,LMNH,9500763,Lepidoptera,Nymphalidae,Neptidopsis,"Neptidopsis ophione (Cramer, 1777)",,
59,LMNH,9500762,Lepidoptera,Nymphalidae,Neptidopsis,"Neptidopsis ophione (Cramer, 1777)",,
60,LMNH,9500761,Lepidoptera,Nymphalidae,Vanessa,"Vanessa cardui (Linnaeus, 1758)",,
61,LMNH,9500760,Lepidoptera,Nymphalidae,Vanessa,"Vanessa cardui (Linnaeus, 1758)",,
62,LMNH,9500758,Lepidoptera,Nymphalidae,Antanartia,"Antanartia dimorphica Howarth, 1966",,
63,LMNH,9500759,Lepidoptera,Nymphalidae,Antanartia,"Antanartia dimorphica Howarth, 1966",,
64,LMNH,9499244,Lepidoptera,Hesperiidae,Dalla,"Dalla huanca Evans, 1955",,
65,LMNH,9496090,Lepidoptera,Crambidae,Perimeceta,"Perimeceta Turner, 1915",,
66,LMNH,9496060,Lepidoptera,Crambidae,Hoploscopa,"Hoploscopa Meyrick, 1886",,
67,LMNH,9496050,Lepidoptera,Crambidae,Hoploscopa,"Hoploscopa Meyrick, 1886",,
68,LMNH,9496048,Lepidoptera,Crambidae,Hoploscopa,"Hoploscopa Meyrick, 1886",,
69,LMNH,9496046,Lepidoptera,Crambidae,Hoploscopa,"Hoploscopa Meyrick, 1886",,
70,LMNH,9431738,Lepidoptera,Crambidae,Nomophila,"Nomophila noctuella (Denis & SchiffermÌ_ller, 1775)",Europe; United Kingdom,2021
71,LMNH,9497482,Lepidoptera,Nymphalidae,Cyrestis,"Cyrestis sublineata Lathy, 1901",,
72,LMNH,5621724,Lepidoptera,Lycaenidae,Celastrina,"Celastrina argiolus britanna (Verity, 1919)",Europe; United Kingdom; England; Oxfordshire,1901
73,LMNH,6844453,Lepidoptera,Geometridae,Eupithecia,"Eupithecia venosata venosata (Fabricius, 1787)",Europe; United Kingdom; England; Oxfordshire,1901
74,LMNH,6965733,Lepidoptera,Geometridae,Hydria,"Hydria cervinalis (Scopoli, 1763)",Europe; United Kingdom; England; Oxfordshire,1901
75,LMNH,5630996,Lepidoptera,Lycaenidae,Callophrys,"Callophrys rubi rubi (Linnaeus, 1758)",Europe; United Kingdom; England; North Lincolnshire,
76,LMNH,5729318,Lepidoptera,Lycaenidae,Callophrys,"Callophrys rubi rubi (Linnaeus, 1758)",Europe; United Kingdom; England; North Lincolnshire,
77,LMNH,6924735,Lepidoptera,Geometridae,Chiasmia,"Chiasmia clathrata clathrata (Linnaeus, 1758)",Europe; United Kingdom; England; North Lincolnshire,1968
78,LMNH,6773961,Lepidoptera,Geometridae,Perizoma,"Perizoma flavofasciata (Thunberg, 1792)",Europe; United Kingdom; England; North Lincolnshire,
79,LMNH,6853529,Lepidoptera,Geometridae,Scopula,"Scopula emutaria (HÌ_bner, 1809)",Europe; United Kingdom; England; North Lincolnshire,1968
80,LMNH,6892691,Lepidoptera,Geometridae,Eupithecia,"Eupithecia subfuscata (Haworth, 1809)",Europe; United Kingdom; England; North Lincolnshire,2066
81,LMNH,6906889,Lepidoptera,Geometridae,Eupithecia,"Eupithecia centaureata (Denis & SchiffermÌ_ller, 1775)",Europe; United Kingdom; England; North Lincolnshire,
82,LMNH,6930240,Lepidoptera,Geometridae,Eupithecia,"Eupithecia subumbrata (Denis & SchiffermÌ_ller, 1775)",Europe; United Kingdom; England; North Lincolnshire,1969
83,LMNH,6979776,Lepidoptera,Erebidae,Eilema,"Eilema complana (Linnaeus, 1758)",Europe; United Kingdom; England; North Lincolnshire,1952
84,LMNH,6992624,Lepidoptera,Geometridae,Scopula,"Scopula emutaria (HÌ_bner, 1809)",Europe; United Kingdom; England; North Lincolnshire,1968
85,LMNH,6993034,Lepidoptera,Geometridae,Eupithecia,"Eupithecia extensaria occidua Prout, 1914",Europe; United Kingdom; England; North Lincolnshire,1968
86,LMNH,7080655,Lepidoptera,Geometridae,Eupithecia,"Eupithecia centaureata (Denis & SchiffermÌ_ller, 1775)",Europe; United Kingdom; England; North Lincolnshire,1968
87,LMNH,7082939,Lepidoptera,Geometridae,Eupithecia,"Eupithecia subumbrata (Denis & SchiffermÌ_ller, 1775)",Europe; United Kingdom; England; North Lincolnshire,1969
88,LMNH,5633030,Lepidoptera,Nymphalidae,Coenonympha,"Coenonympha pamphilus (Linnaeus, 1758)",Europe; United Kingdom; England; North Lincolnshire,1947
89,LMNH,5710575,Lepidoptera,Nymphalidae,Coenonympha,"Coenonympha pamphilus (Linnaeus, 1758)",Europe; United Kingdom; England; North Lincolnshire,1947
90,LMNH,6772545,Lepidoptera,Sphingidae,Deilephila,"Deilephila porcellus (Linnaeus, 1758)",Europe; United Kingdom; England; North Lincolnshire,
91,LMNH,6807336,Lepidoptera,Drepanidae,Cilix,"Cilix glaucata (Scopoli, 1763)",Europe; United Kingdom; England; North Lincolnshire,1952
92,LMNH,6840318,Lepidoptera,Sphingidae,Deilephila,"Deilephila porcellus (Linnaeus, 1758)",Europe; United Kingdom; England; North Lincolnshire,
93,LMNH,6856337,Lepidoptera,Sphingidae,Deilephila,"Deilephila porcellus (Linnaeus, 1758)",Europe; United Kingdom; England; North Lincolnshire,
94,LMNH,6962869,Lepidoptera,Geometridae,Scopula,"Scopula emutaria (HÌ_bner, 1809)",Europe; United Kingdom; England; North Lincolnshire,1958
95,LMNH,6996680,Lepidoptera,Sphingidae,Deilephila,"Deilephila porcellus (Linnaeus, 1758)",Europe; United Kingdom; England; North Lincolnshire,2030
96,LMNH,5632883,Lepidoptera,Lycaenidae,Lycaena,"Lycaena phlaeas eleus (Fabricius, 1798)",Europe; United Kingdom; Wales; Monmouthshire,1938
97,LMNH,5667930,Lepidoptera,Lycaenidae,Polyommatus,"Polyommatus icarus icarus (Rottemburg, 1775)",Europe; United Kingdom; Wales; Monmouthshire,1938
98,LMNH,5680065,Lepidoptera,Lycaenidae,Lycaena,"Lycaena phlaeas eleus (Fabricius, 1798)",Europe; United Kingdom; Wales; Monmouthshire,1938
99,LMNH,5691436,Lepidoptera,Lycaenidae,Polyommatus,"Polyommatus icarus icarus (Rottemburg, 1775)",Europe; United Kingdom; Wales; Monmouthshire,1938
15,RAMM,8209,Lepidoptera,PAPILIONIDAE,Troides,Troides dohertyi,Indonesia,This male birdwing butterfly was collected in North Sulawesi on Talaud Island.
25,RAMM,8215,Lepidoptera,PAPILIONIDAE,Teinopalpus,Teinopalpus imperialis,India,"This butterfly was collected in the Khasia Hills, Assam."
48,RAMM,8228,Lepidoptera,NYMPHALIDAE,Euploea,Euploea core andamanensis,Andaman and Nicobar Islands (Union Territory of India),This rare male specimen was collected by F. J. R. Field in the Andaman Islands. It was donated to the Museum in 1931.
49,RAMM,8229,Lepidoptera,NYMPHALIDAE,Euploea,Euploea mitra,Seychelles,This butterfly was collected in the Seychelles in November 1905 by N Manders. It was part of Major A. B. Gay‰Ûªs collection.
55,RAMM,8231,Lepidoptera,NYMPHALIDAE,Mycalesis,Mycalesis cf. discobolus,,This male specimen was collected in an areas of land formerly known as Turkestan.
56,RAMM,8232,Lepidoptera,GEOMETRIDAE,Zerenopsis,Zerenopsis lepida,South Africa,It was collected at Port St. John‰Ûªs in Pondoland (South Africa) by EH Brazeley in January 1904.
57,RAMM,8235,Lepidoptera,LEPIDOPTERA,,,,This unidentified moth was collected by E. H. Bazeley probably in South Africa. It was donated to the Museum in 1947 with other specimens from his collection.
58,RAMM,8237,Lepidoptera,NOCTUIDAE,Egybolis,Egybolis vaillantina,South Africa,This specimen was collected at Berea in Durban (South Africa) by E. H. Brazeley in January 1904.
62,RAMM,8238,Lepidoptera,LEPIDOPTERA,,,South Africa,This unidentified moth was collected by E. H. Bazeley at Umtata Falls in South Africa in October 1905. It was donated to the Museum in 1947 with other specimens from his collection.
63,RAMM,8239,Lepidoptera,SATURNIIDAE,Antheraea,Antheraea paphia,,This female silk moth was part of Royal Naval Captain G..C. Woodward‰Ûªs collection that was donated to the museum in 1955.
68,RAMM,8241,Lepidoptera,LEPIDOPTERA,,,,Unfortunately there is no collection data or identification to accompany this moth.
69,RAMM,8242,Lepidoptera,SPHINGIDAE,,,,Unfortunately we have no data for this specimen. It is a type of hawk-moth that is not found in the UK.
70,RAMM,8245,Lepidoptera,ARCTIIDAE,Arctia,Arctia villica,United Kingdom: England,This moth was collected by Alexander Baynes at Tiverton in June 1962. Cream spot tigers are usually found in woodland. Their larvae are brown and very hairy.
71,RAMM,8246,Lepidoptera,SPHINGIDAE,Laothoe,Laothoe populi,United Kingdom: England,This poplar hawk-moth was collected by Alexander Baynes at Birch Green in Hertford in May 1960. It is probably the commonest hawk moth in the UK.
72,RAMM,8248,Lepidoptera,NYMPHALIDAE,Childrena,Childrena childreni,,There is no data accompanying this specimen but this female large silver stripe butterfly was probably collected in Asia or Australia.
73,RAMM,15212,Lepidoptera,SPHINGIDAE,Deilephila,Deilephila porcellus,United Kingdom: England,"Adult small elephant hawk-moths fly May-July across the UK but prefer chalky areas. Frank Lees collected this specimen 15 June 1925.This is the much smaller relative of the elephant hawk-moth Deilephila elpenor, and it has much yellower wings. The larva is also smaller and lacks the curved horn on the rear end that occurs in most other hawk-moth species."
75,RAMM,8249,Lepidoptera,AMATHUSIIDAE,Stichophthalma,Stichophthalma camadeva,,Unfortunately there is no data to accompany this exotic butterfly. It is possibly Stichophthalma camadeva (family Amathusiidae) from Asia.
78,RAMM,15215,Lepidoptera,SPHINGIDAE,Deilephila,Deilephila porcellus,United Kingdom: England,"Adult small elephant hawk-moths fly May-July across the UK but prefer chalky areas. Frank Lees bred this specimen from an egg between 1926 and 1927. It emerged as an adult 25 July 1927.This is the much smaller relative of the elephant hawk-moth Deilephila elpenor, and it has much yellower wings. The larva is also smaller and lacks the curved horn on the rear end that occurs in most other hawk-moth species."
79,RAMM,15223,Lepidoptera,SPHINGIDAE,Deilephila,Deilephila porcellus,United Kingdom: England,"Adult small elephant hawk-moths fly May-July across the UK but prefer chalky areas. Frank Lees collected this specimen 11 June 1929.This is the much smaller relative of the elephant hawk-moth Deilephila elpenor, and it has much yellower wings. The larva is also smaller and lacks the curved horn on the rear end that occurs in most other hawk-moth species."
81,RAMM,15224,Lepidoptera,SPHINGIDAE,Deilephila,Deilephila porcellus,United Kingdom: England,"Adult small elephant hawk-moths fly May-July across the UK but prefer chalky areas. Frank Lees bred this specimen from a larva between 1932 and 1933. It emerged as an adult 4 July 1933.This is the much smaller relative of the elephant hawk-moth Deilephila elpenor, and it has much yellower wings. The larva is also smaller and lacks the curved horn on the rear end that occurs in most other hawk-moth species."
83,RAMM,15226,Lepidoptera,SPHINGIDAE,Deilephila,Deilephila porcellus,United Kingdom: England,"Adult small elephant hawk-moths fly May-July across the UK but prefer chalky areas. Frank Lees bred this specimen from an egg between 1929 and 1930. It emerged as an adult between 7 and 27 July 1930.This is the much smaller relative of the elephant hawk-moth Deilephila elpenor, and it has much yellower wings. The larva is also smaller and lacks the curved horn on the rear end that occurs in most other hawk-moth species."
99,RAMM,8260,Lepidoptera,SATURNIIDAE,Attacus,Attacus atlas,,The atlas moth is a type of silk moth. The caterpillar weaves a silken cocoon to protect itself while it pupates. This cocoon was collected by Captain G. C. Woodward (Royal Navy) whose collection was donated to the Museum in 1955.
105,RAMM,8262,Lepidoptera,SATURNIIDAE,Coscinocera,Coscinocera hercules,Australia,This male Hercules moth was collected in September 1907 on the Mulgrave River and was part of Major Gay‰Ûªs collection. He was a curator at the Museum and is responsible for our magnificent collection of tropical butterflies.
106,RAMM,8263,Lepidoptera,SATURNIDAE,Gynanisa,Gynanisa maia,South Africa,This moth was collected by Captain G. Woodward (Royal Navy) in February 1899. His collection was donated to the Museum in 1955 by his wife. The large eye spots in the hind wings startle and confuse predators.
107,RAMM,8264,Lepidoptera,SATURNIIDAE,Coscinocera,Coscinocera hercules,Australia,This female Hercules moth was collected in September 1907 on the Mulgrave River and was part of Major Gay‰Ûªs collection. He was a curator at the Museum and is responsible for our magnificent collection of tropical butterflies.
110,RAMM,8271,Lepidoptera,ARCTIIDAE,Tyria,Tyria jacobaeae,United Kingdom: England,Cinnabar moths are mostly nocturnal. Their larvae feed on ragwort. This specimen was collected in July 1969 by C. W. Holcroft using a mercury vapour lamp.
111,RAMM,15233,Lepidoptera,SPHINGIDAE,Deilephila,Deilephila porcellus,United Kingdom: England,"Adult small elephant hawk-moths fly May-July across the UK but prefer chalky areas. Frank Lees collected this specimen near his home 17 June 1957.This is the much smaller relative of the elephant hawk-moth Deilephila elpenor, and it has much yellower wings. The larva is also smaller and lacks the curved horn on the rear end that occurs in most other hawk-moth species."
113,RAMM,8510,Lepidoptera,NYMPHALIDAE,Chlorippe,Chlorippe clothilda,Colombia,"This butterfly was collected in Colombia and is part of Mr Symington‰Ûªs collection. His collection was donated in store boxes, not cabinets, as he used it for study not for show. Mr Symington was particularly interested in studying mimicry."
114,RAMM,8516,Lepidoptera,NYMPHALIDAE,Nessaea,Nessaea hewitsoni,,This butterfly is part of Captain GC Woodward‰Ûªs collection of butterflies that was donated to the Museum by his wife in his memory in 1955.
116,RAMM,8520,Lepidoptera,NYMPHALIDAE,Catagramma,Catagramma sorana,Argentina,"This butterfly was donated to the Museum as part of Dr H Moreton‰Ûªs collection of exotic Lepidoptera, Coleoptera and Homoptera which was contained in a ten drawer cabinet. This specimen was collected in Argentina in 1902."
118,RAMM,8531,Lepidoptera,PAPILIONIDAE,Papilio,Papilio stratiotes,Borneo: Sabah,"This butterfly was collected by John Waterstradt at Mont Kina Balu, northern Borneo, in August 1903. Before being donated to RAMM by as part of Blanchford‰Ûªs collection it was in the Oberthur collection at the British Museum."
121,RAMM,8536,Lepidoptera,LYCAENIDAE,Leptotes,Leptotes cassius,Argentina,This butterfly is part of Captain GC Woodward‰Ûªs collection of butterflies that was donated to the Museum by his wife in his memory in 1955. This cassius blue was collected in Argentina.
122,RAMM,8540,Lepidoptera,NYMPHALIDAE,Euptychia,Euptychia cephus,Trinidad and Tobago,"This butterfly is part of Captain GC Woodward‰Ûªs collection of butterflies that was donated to the Museum by his wife in his memory in 1955. This butterfly was collected at Port of Spain, Trinidad in 1904."
123,RAMM,8272,Lepidoptera,ARCTIIDAE,Tyria,Tyria jacobaeae,United Kingdom: England,Cinnabar moths are mostly nocturnal. Their larvae feed on ragwort. This specimen was collected in June 1964 by C. W. Holcroft using a mercury vapour lamp.
124,RAMM,8273,Lepidoptera,ARCTIIDAE,Tyria,Tyria jacobaeae,United Kingdom: England,Cinnabar moths are mostly nocturnal. Their larvae feed on ragwort. This specimen was collected in June 1963 by C. W. Holcroft using a mercury vapour lamp.
125,RAMM,8542,Lepidoptera,PAPILIONIDAE,Papilio,Papilio torquartus,Colombia,This butterfly is in the Blanchford collection and was collected in Columbia by J. Carder.
126,RAMM,8543,Lepidoptera,PAPILIONIDAE,Papilio,Papilio erythalion,Colombia,This butterfly was collected in Colombia and is part of Mr Symington‰Ûªs collection. The red spots on the hind wings show a vivid blue iridescence when viewed from certain angles.
127,RAMM,8275,Lepidoptera,ARCTIIDAE,Tyria,Tyria jacobaeae,,Cinnabar moths are mostly nocturnal. Their larvae feed on ragwort. This specimen was collected by C. W. Holcroft.
128,RAMM,8276,Lepidoptera,ARCTIIDAE,Tyria,Tyria jacobaeae,,Cinnabar moths are mostly nocturnal. Their larvae feed on ragwort. This specimen was collected by C W Holcroft.
129,RAMM,8277,Lepidoptera,ARCTIIDAE,Tyria,Tyria jacobaeae,,Cinnabar moths are mostly nocturnal. Their larvae feed on ragwort. This specimen was collected by C. W. Holcroft.
130,RAMM,8544,Lepidoptera,PAPILIONIDAE,Papilio,Papilio iphidamas calogyna,Costa Rica,"This butterfly is in the Blanchford collection and was collected in Cachi, Costa Rica."
131,RAMM,8278,Lepidoptera,ARCTIIDAE,Tyria,Tyria jacobaeae,,Cinnabar moths are mostly nocturnal. Their larvae feed on ragwort. This specimen was collected by C. W. Holcroft.
132,RAMM,8279,Lepidoptera,ARCTIIDAE,Tyria,Tyria jacobaeae,,Cinnabar moths are mostly nocturnal. Their larvae feed on ragwort. This specimen was collected by C. W. Holcroft.
133,RAMM,8280,Lepidoptera,ARCTIIDAE,Callimorpha,Callimorpha dominula,United Kingdom: England,The brightly coloured underwings of the scarlet tiger warn predators that it is distasteful to eat. The underwings in this species are occasionally yellow. This specimen was collected by C W Holcroft.
134,RAMM,8281,Lepidoptera,ARCTIIDAE,Callimorpha,Callimorpha dominula,United Kingdom: England,The brightly coloured underwings of the scarlet tiger warn predators that it is distasteful to eat. The underwings in this species are occasionally yellow. This specimen was collected by C. W. Holcroft in July 1955.
137,RAMM,8282,Lepidoptera,ARCTIIDAE,Callimorpha,Callimorpha dominula,United Kingdom: England,The brightly coloured underwings of the scarlet tiger warn predators that it is distasteful to eat. The underwings in this species are occasionally yellow. This specimen was collected by C. W. Holcroft in July 1955.
139,RAMM,8284,Lepidoptera,ARCTIIDAE,Callimorpha,Callimorpha dominula,United Kingdom: England,The brightly coloured underwings of the scarlet tiger warn predators that it is distasteful to eat. The underwings in this species are occasionally yellow. This specimen was collected by C. W. Holcroft in July 1958.
140,RAMM,8548,Lepidoptera,NYMPHALIDAE,Nessaea,Nessaea obrinus,Colombia,This butterfly was collected in SE Columbia in Upper Putumayo and is part of Major AB Gay‰Ûªs collection. He was employed as a curator at the Museum in 1936 and was a butterfly expert.
141,RAMM,8285,Lepidoptera,ARCTIIDAE,Callimorpha,Callimorpha dominula,United Kingdom: England,The brightly coloured underwings of the scarlet tiger warn predators that it is distasteful to eat. The underwings in this species are occasionally yellow. This specimen was collected by C. W. Holcroft in July 1958.
142,RAMM,8286,Lepidoptera,ARCTIIDAE,Euplagia,Euplagia quadripunctaria,United Kingdom: England,The brightly coloured underwings of the Jersey tiger warn predators that it is distasteful to eat. Found in Devon and the Channel Islands. This specimen was collected by C W Holcroft in September 1954.
143,RAMM,8288,Lepidoptera,ARCTIIDAE,Euplagia,Euplagia quadripunctaria,United Kingdom: England,The brightly coloured underwings of the Jersey tiger warn predators that it is distasteful to eat. Found in Devon and the Channel Islands. This specimen was collected by C. W. Holcroft in August 1958.
144,RAMM,8289,Lepidoptera,ARCTIIDAE,Euplagia,Euplagia quadripunctaria,United Kingdom: England,The brightly coloured underwings of the Jersey tiger warn predators that it is distasteful to eat. Found in Devon and the Channel Islands. This specimen was collected by C. W. Holcroft in August 1958.
145,RAMM,8290,Lepidoptera,ARCTIIDAE,Euplagia,Euplagia quadripunctaria,United Kingdom: England,The brightly coloured underwings of the Jersey tiger warn predators that it is distasteful to eat. Found in Devon and the Channel Islands. This specimen was collected by C. W. Holcroft in August 1958.
146,RAMM,8291,Lepidoptera,ARCTIIDAE,Euplagia,Euplagia quadripunctaria,United Kingdom: England,The brightly coloured underwings of the Jersey tiger warn predators that it is distasteful to eat. Found in Devon and the Channel Islands. This specimen was collected by C. W. Holcroft in August 1954 using a mercury vapour light.
147,RAMM,8551,Lepidoptera,NYMPHALIDAE,Perisama,Perisama bonplandii,Colombia,"This butterfly was collected in Bogota, Colombia and is part of Major AB Gay‰Ûªs collection. He was a curator at the Museum and is responsible for the outstanding collection that we have today."
148,RAMM,8555,Lepidoptera,HESPERIIDAE,Eudamus,Eudamus catillus,Trinidad and Tobago,This butterfly was collected in Trinidad and is part of Major AB Gay‰Ûªs collection. He was a curator at the Museum and is responsible for the outstanding collection that we have today.
149,RAMM,8583,Lepidoptera,NYMPHALIDAE,Salamis,Salamis cytora,Nigeria,"Sir S Carter collected this attractive blue butterfly in Lagos, Nigeria, in 1895."
152,RAMM,8292,Lepidoptera,ARCTIIDAE,Euplagia,Euplagia quadripunctaria,United Kingdom: England,The brightly coloured underwings of the Jersey tiger warn predators that it is distasteful to eat. Found in Devon and the Channel Islands. This specimen was collected by C. W. Holcroft in August 1953.
153,RAMM,8587,Lepidoptera,NYMPHALIDAE,Libythea,Libythea celtis,,"This little butterfly is a European species from Mr Symington‰Ûªs collection. His collection was donated in store boxes, not cabinets, as he used it for study and not for show. Mr Symington was particularly interested in studying mimicry."
154,RAMM,8299,Lepidoptera,ARCTIIDAE,Euplagia,Euplagia quadripunctaria,United Kingdom: England,The brightly coloured underwings of the Jersey tiger warn predators that it is distasteful to eat. Found in Devon and the Channel Islands. This specimen was collected by C. W. Holcroft in August 1964 using a mercury vapour light.
156,RAMM,8589,Lepidoptera,NYMPHALIDAE,Zegris,Zegris eupheme,,This little butterfly is a European species from Mr Symington‰Ûªs collection which was donated to the Museum in 1942.
